순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
10431	국제전문학술지(SCIE)	SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS	OPTICAL ENGINEERING	미국	00913286	1.2	77.2
15842	국제전문학술지(SSCI)	BABES-BOLYAI UNIV	TRANSYLVANIAN REVIEW OF ADMINISTRATIVE SCIENCES	루마니아	18422845	0.8	77.2
11462	국제전문학술지(SCIE)	SPRINGER HEIDELBERG	SCHMERZ	독일	0932433X	0.6	77.2
5824	국제전문학술지(SCIE)	MARY ANN LIEBERT, INC	ENVIRONMENTAL ENGINEERING SCIENCE	미국	10928758	1.8	77.3
7862	국제전문학술지(SCIE)	SPRINGER	JOURNAL OF ATMOSPHERIC CHEMISTRY	네덜란드	01677764	1.8	77.3
10420	국제전문학술지(SCIE)	TAYLOR & FRANCIS INC	OPHTHALMIC GENETICS	미국	13816810	1	77.3
7541	국제전문학술지(SCIE)	WALTER DE GRUYTER GMBH	INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES	독일	03340082	0.9	77.3
13207	국제전문학술지(SSCI)	INST SPONTANEOUS ORDER ECONOMICS	ECON JOURNAL WATCH	미국	1933527X	0.6	77.3
13276	국제전문학술지(SSCI)	INST ECONOMICS RESEARCH SAS & INST FORECASTING CSPS SAS	EKONOMICKY CASOPIS	슬로바키아	00133035	0.6	77.3
14001	국제전문학술지(SSCI)	UNIV NACIONAL AUTONOMA MEXICO, FAC ECONOMIA	INVESTIGACION ECONOMICA	멕시코	01851667	0.6	77.3
15785	국제전문학술지(SSCI)	SPRINGER	THEORY AND DECISION	네덜란드	00405833	0.6	77.3
15554	국제전문학술지(SSCI)	UNIV BARCELONA, DEPT GEOGRAFIA HUMANA	SCRIPTA NOVA-REVISTA ELECTRONICA DE GEOGRAFIA Y CIENCIAS SOCIALES	스페인	11389788	0.4	77.3
13924	국제전문학술지(SSCI)	INDERSCIENCE ENTERPRISES LTD	INTERNATIONAL JOURNAL OF SHIPPING AND TRANSPORT LOGISTICS	영국	17566517	1.2	77.5
5777	국제전문학술지(SCIE)	SOC BRASIL ENGENHARIA AGRICOLA	ENGENHARIA AGRICOLA	스페인	01006916	0.8	77.5
13484	국제전문학술지(SSCI)	CHARLES UNIV-PRAGUE	FINANCE A UVER-CZECH JOURNAL OF ECONOMICS AND FINANCE	체코	00151920	0.7	77.5
